Age,Industry,Job title,Country,Annual salary,Currency,Years of experience
25-34,Tech,Engineer,US,90000.0,USD,5
35-44,Finance,Analyst,United States,120000.0,USD,10
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
45-54,Tech,Developer,U.S.A.,,USD,7
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
45-54,Tech,Developer,U.S.A.,,USD,7
35-44,Finance,Analyst,United States,120000.0,USD,10
35-44,Finance,Analyst,United States,120000.0,USD,10
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
35-44,Finance,Analyst,United States,120000.0,USD,10
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
35-44,Finance,Analyst,United States,120000.0,USD,10
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
35-44,Finance,Analyst,United States,120000.0,USD,10
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
25-34,Healthcare,Nurse,UK,80000.0,GBP,8
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
35-44,Finance,Analyst,United States,120000.0,USD,10
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
18-24,Education,Teacher,BRITAIN,60000.0,GBP,2
